^ORIGIN_CITY_NAME^DEST_CITY_NAME
14^Guangzhou, China^Saipan, TT
28128^New York, NY^London, United Kingdom
28129^New York, NY^London, United Kingdom
28130^New York, NY^London, United Kingdom
28131^Las Vegas, NV^London, United Kingdom
28134^Los Angeles, CA^London, United Kingdom
28135^London, United Kingdom^Las Vegas, NV
28136^London, United Kingdom^Orlando, FL
28137^London, United Kingdom^Atlanta, GA
28138^London, United Kingdom^Boston, MA
28139^London, United Kingdom^Newark, NJ
28141^London, United Kingdom^Newark, NJ
28145^London, United Kingdom^Washington, DC
28146^London, United Kingdom^New York, NY
28147^London, United Kingdom^New York, NY
28149^London, United Kingdom^New York, NY
28150^London, United Kingdom^New York, NY
28152^London, United Kingdom^Los Angeles, CA
28153^London, United Kingdom^Miami, FL
28154^London, United Kingdom^Miami, FL
28155^London, United Kingdom^San Francisco, CA
28159^Manchester, United Kingdom^Orlando, FL
28160^Orlando, FL^London, United Kingdom
28161^Orlando, FL^Manchester, United Kingdom
28162^Miami, FL^London, United Kingdom
28163^Miami, FL^London, United Kingdom
28164^San Francisco, CA^London, United Kingdom
28195^New York, NY^Kiev, Ukraine
28202^Washington, DC^Jeddah, Saudi Arabia
28203^Washington, DC^Riyadh, Saudi Arabia
28204^Jeddah, Saudi Arabia^Washington, DC
28205^Jeddah, Saudi Arabia^New York, NY
28206^Jeddah, Saudi Arabia^Los Angeles, CA
28207^New York, NY^Jeddah, Saudi Arabia
28208^New York, NY^Riyadh, Saudi Arabia
28209^Los Angeles, CA^Jeddah, Saudi Arabia
28210^Riyadh, Saudi Arabia^Washington, DC
28211^Riyadh, Saudi Arabia^New York, NY
28240^Boston, MA^Albuquerque, NM
28245^Boston, MA^Salt Lake City, UT
28336^New York, NY^London, United Kingdom
28337^Kuwait, Kuwait^New York, NY
28338^London, United Kingdom^New York, NY
28339^New York, NY^Moscow, Russia
28341^Los Angeles, CA^Moscow, Russia
28342^Miami, FL^Moscow, Russia
28343^Fort Lauderdale, FL^Quebec, Canada
28344^Fort Lauderdale, FL^Montreal, Canada
28345^Fort Lauderdale, FL^Toronto, Canada
28346^Las Vegas, NV^Toronto, Canada
28351^Orlando, FL^Toronto, Canada
28353^St. Petersburg, FL^Toronto, Canada
28356^Quebec, Canada^Fort Lauderdale, FL
28359^Montreal, Canada^Fort Lauderdale, FL
28362^Toronto, Canada^Las Vegas, NV
28363^Toronto, Canada^Orlando, FL
28469^Havana, Cuba^Miami, FL
28511^Miami, FL^Havana, Cuba
28874^Georgetown, Guyana^New York, NY
28879^New York, NY^Georgetown, Guyana
28886^Nantucket, MA^Hyannis, MA
28894^Hyannis, MA^Nantucket, MA
29359^Guam, TT^Saipan, TT
29457^Bangor, ME^Newark, NJ
29480^Goose Bay, Canada^Newark, NJ
29536^Cancun, Mexico^Pittsburgh, PA
29567^Pittsburgh, PA^Cancun, Mexico
29569^Pittsburgh, PA^Punta Cana, Dominican Republic
29573^Punta Cana, Dominican Republic^Pittsburgh, PA
29598^New York, NY^Lagos, Nigeria
29599^Lagos, Nigeria^New York, NY
29601^Atlanta, GA^Toronto, Canada
29602^Atlanta, GA^Toronto, Canada
29603^Boston, MA^Halifax, Canada
29608^Boston, MA^Montreal, Canada
29609^Baltimore, MD^Toronto, Canada
29612^Cleveland, OH^Toronto, Canada
29614^Charlotte, NC^Toronto, Canada
29616^Columbus, OH^Toronto, Canada
29619^Washington, DC^Ottawa, Canada
29620^Washington, DC^Montreal, Canada
29624^Newark, NJ^Montreal, Canada
29627^Houston, TX^Calgary, Canada
29628^Houston, TX^Toronto, Canada
29630^New York, NY^Toronto, Canada
29631^New York, NY^Ottawa, Canada
29634^Minneapolis, MN^Toronto, Canada
29635^New Orleans, LA^Toronto, Canada
29636^Portland, OR^Vancouver, Canada
29637^Pittsburgh, PA^Toronto, Canada
29640^Seattle, WA^Vancouver, Canada
29642^St. Louis, MO^Toronto, Canada
29643^Halifax, Canada^Boston, MA
29646^Ottawa, Canada^Washington, DC
29647^Ottawa, Canada^New York, NY
29650^Montreal, Canada^Boston, MA
29651^Montreal, Canada^Washington, DC
29652^Montreal, Canada^Newark, NJ
29653^Vancouver, Canada^Portland, OR
29654^Vancouver, Canada^Seattle, WA
29656^Calgary, Canada^Houston, TX
29658^Toronto, Canada^Atlanta, GA
29659^Toronto, Canada^Atlanta, GA
29660^Toronto, Canada^Baltimore, MD
29663^Toronto, Canada^Cleveland, OH
29665^Toronto, Canada^Charlotte, NC
29667^Toronto, Canada^Columbus, OH
29673^Toronto, Canada^Houston, TX
29675^Toronto, Canada^New York, NY
29677^Toronto, Canada^Minneapolis, MN
29678^Toronto, Canada^New Orleans, LA
29679^Toronto, Canada^Pittsburgh, PA
29682^Toronto, Canada^St. Louis, MO
29684^Dallas/Fort Worth, TX^Doha, Qatar
29686^Doha, Qatar^Dallas/Fort Worth, TX
29687^Doha, Qatar^Washington, DC
29688^Doha, Qatar^Houston, TX
29689^Doha, Qatar^New York, NY
29690^Doha, Qatar^Miami, FL
29691^Doha, Qatar^Chicago, IL
29693^Doha, Qatar^Philadelphia, PA
29694^Washington, DC^Doha, Qatar
29695^Houston, TX^Doha, Qatar
29696^New York, NY^Doha, Qatar
29697^Miami, FL^Doha, Qatar
29698^Chicago, IL^Doha, Qatar
29700^Philadelphia, PA^Doha, Qatar
29701^Cairo, Egypt^New York, NY
29702^New York, NY^Cairo, Egypt
29703^Guangzhou, China^Saipan, TT
29704^Shanghai, China^Saipan, TT
29705^Saipan, TT^Guangzhou, China
29706^Saipan, TT^Shanghai, China
29709^Amsterdam, Netherlands^Atlanta, GA
29712^Amsterdam, Netherlands^Washington, DC
29713^Amsterdam, Netherlands^Washington, DC
29714^Amsterdam, Netherlands^Houston, TX
29715^Amsterdam, Netherlands^New York, NY
29716^Amsterdam, Netherlands^New York, NY
29717^Amsterdam, Netherlands^New York, NY
29718^Amsterdam, Netherlands^New York, NY
29719^Amsterdam, Netherlands^Los Angeles, CA
29720^Amsterdam, Netherlands^Los Angeles, CA
29722^Amsterdam, Netherlands^Chicago, IL
29723^Amsterdam, Netherlands^San Francisco, CA
29724^Atlanta, GA^Amsterdam, Netherlands
29728^Washington, DC^Amsterdam, Netherlands
29729^Washington, DC^Amsterdam, Netherlands
29730^Houston, TX^Amsterdam, Netherlands
29731^New York, NY^Amsterdam, Netherlands
29732^New York, NY^Amsterdam, Netherlands
29733^New York, NY^Amsterdam, Netherlands
29734^New York, NY^Amsterdam, Netherlands
29735^Los Angeles, CA^Amsterdam, Netherlands
29736^Los Angeles, CA^Amsterdam, Netherlands
29738^Chicago, IL^Amsterdam, Netherlands
29739^San Francisco, CA^Amsterdam, Netherlands
29740^Auckland, New Zealand^Honolulu, HI
29741^Auckland, New Zealand^Los Angeles, CA
29742^Auckland, New Zealand^Los Angeles, CA
29744^Auckland, New Zealand^San Francisco, CA
29745^Honolulu, HI^Auckland, New Zealand
29746^Los Angeles, CA^Auckland, New Zealand
29747^Los Angeles, CA^Auckland, New Zealand
29748^Los Angeles, CA^London, United Kingdom
29750^London, United Kingdom^Los Angeles, CA
29753^San Francisco, CA^Auckland, New Zealand
29754^Atlanta, GA^Toronto, Canada
29755^Atlanta, GA^Toronto, Canada
29759^Boston, MA^Halifax, Canada
29762^Boston, MA^Montreal, Canada
29763^Baltimore, MD^Toronto, Canada
29767^Cleveland, OH^Toronto, Canada
29768^Charlotte, NC^Toronto, Canada
29769^Columbus, OH^Toronto, Canada
29770^Washington, DC^Ottawa, Canada
29771^Washington, DC^Montreal, Canada
29776^Newark, NJ^Montreal, Canada
29778^Houston, TX^Calgary, Canada
29779^Houston, TX^Toronto, Canada
29781^New York, NY^Toronto, Canada
29782^New York, NY^Ottawa, Canada
29784^Minneapolis, MN^Toronto, Canada
29785^New Orleans, LA^Toronto, Canada
29786^Portland, OR^Vancouver, Canada
29787^Pittsburgh, PA^Toronto, Canada
29790^Seattle, WA^Vancouver, Canada
29791^St. Louis, MO^Toronto, Canada
29792^Halifax, Canada^Boston, MA
29794^Ottawa, Canada^Washington, DC
29795^Ottawa, Canada^New York, NY
29797^Montreal, Canada^Boston, MA
29798^Montreal, Canada^Washington, DC
29800^Montreal, Canada^Newark, NJ
29801^Vancouver, Canada^Portland, OR
29802^Vancouver, Canada^Seattle, WA
29804^Calgary, Canada^Houston, TX
29805^Toronto, Canada^Atlanta, GA
29806^Toronto, Canada^Atlanta, GA
29810^Toronto, Canada^Baltimore, MD
29814^Toronto, Canada^Cleveland, OH
29815^Toronto, Canada^Charlotte, NC
29816^Toronto, Canada^Columbus, OH
29820^Toronto, Canada^Houston, TX
29822^Toronto, Canada^New York, NY
29824^Toronto, Canada^Minneapolis, MN
29825^Toronto, Canada^New Orleans, LA
29826^Toronto, Canada^Pittsburgh, PA
29829^Toronto, Canada^St. Louis, MO
29831^New York, NY^Moscow, Russia
29832^Los Angeles, CA^Moscow, Russia
29833^Miami, FL^Moscow, Russia
29835^Moscow, Russia^New York, NY
29836^Moscow, Russia^Los Angeles, CA
29837^Moscow, Russia^Miami, FL
29838^Paris, France^Los Angeles, CA
29839^Los Angeles, CA^Paris, France
29840^Los Angeles, CA^Papeete, French Polynesia
29841^Papeete, French Polynesia^Los Angeles, CA
29850^New York, NY^Lima, Peru
29852^New York, NY^Santiago, Chile
29853^Los Angeles, CA^Lima, Peru
29854^Lima, Peru^New York, NY
29855^Lima, Peru^Los Angeles, CA
29871^Miami, FL^Santiago, Chile
29872^Miami, FL^Santiago, Chile
29880^Santiago, Chile^New York, NY
29881^Santiago, Chile^Miami, FL
29882^Santiago, Chile^Miami, FL
29888^New York, NY^Lima, Peru
29889^Los Angeles, CA^Lima, Peru
29890^Lima, Peru^New York, NY
29891^Lima, Peru^Los Angeles, CA
29892^Lima, Peru^Miami, FL
29893^Miami, FL^Lima, Peru
29901^New York, NY^Lima, Peru
29902^New York, NY^Santiago, Chile
29903^New York, NY^Santiago, Chile
29905^Los Angeles, CA^Lima, Peru
29906^Lima, Peru^New York, NY
29909^Lima, Peru^Los Angeles, CA
29925^Miami, FL^Santiago, Chile
29926^Miami, FL^Santiago, Chile
29935^Santiago, Chile^New York, NY
29936^Santiago, Chile^New York, NY
29937^Santiago, Chile^Miami, FL
29938^Santiago, Chile^Miami, FL
29943^Amsterdam, Netherlands^Sanford, FL
29944^Brussels, Belgium^Miami, FL
29945^Miami, FL^Brussels, Belgium
29947^Sanford, FL^Amsterdam, Netherlands
29950^Atlanta, GA^Paris, France
29952^Atlanta, GA^Paris, France
29954^Boston, MA^Paris, France
29957^Paris, France^Atlanta, GA
29959^Paris, France^Atlanta, GA
29961^Paris, France^Boston, MA
29963^Paris, France^Detroit, MI
29965^Paris, France^Washington, DC
29966^Paris, France^Houston, TX
29967^Paris, France^Houston, TX
29968^Paris, France^New York, NY
29969^Paris, France^New York, NY
29970^Paris, France^New York, NY
29972^Paris, France^New York, NY
29973^Paris, France^Los Angeles, CA
29974^Paris, France^Los Angeles, CA
29975^Paris, France^Miami, FL
29976^Paris, France^Chicago, IL
29979^Paris, France^San Francisco, CA
29980^Detroit, MI^Paris, France
29982^Washington, DC^Paris, France
29983^Houston, TX^Paris, France
29984^Houston, TX^Paris, France
29986^New York, NY^Paris, France
29987^New York, NY^Paris, France
29988^New York, NY^Paris, France
29990^New York, NY^Paris, France
29991^Los Angeles, CA^Paris, France
29992^Los Angeles, CA^Paris, France
29993^Los Angeles, CA^Papeete, French Polynesia
29995^Miami, FL^Paris, France
29996^Miami, FL^Port-au-Prince, Haiti
29997^Chicago, IL^Paris, France
30002^Port-au-Prince, Haiti^Miami, FL
30003^Papeete, French Polynesia^Los Angeles, CA
30004^San Francisco, CA^Paris, France
30006^Guam, TT^Seoul, South Korea
30007^Seoul, South Korea^Guam, TT
30199^Houston, TX^Luanda, Angola
30209^Luanda, Angola^Houston, TX
30699^Gulfport/Biloxi, MS^St. Petersburg, FL
30741^St. Petersburg, FL^Gulfport/Biloxi, MS
30766^Havana, Cuba^Miami, FL
30767^Havana, Cuba^Tampa, FL
30770^Miami, FL^Cienfuegos, Cuba
30772^Miami, FL^Havana, Cuba
30775^Miami, FL^Santa Clara, Cuba
30778^Santa Clara, Cuba^Miami, FL
30779^Tampa, FL^Havana, Cuba
31035^Honolulu, HI^Las Vegas, NV
31036^Las Vegas, NV^Honolulu, HI
31052^Guam, TT^Taipei, Taiwan
31053^Guam, TT^Taipei, Taiwan
31054^New York, NY^Taipei, Taiwan
31056^Los Angeles, CA^Taipei, Taiwan
31059^Seattle, WA^Taipei, Taiwan
31060^Seattle, WA^Taipei, Taiwan
31062^San Francisco, CA^Taipei, Taiwan
31065^Taipei, Taiwan^Guam, TT
31066^Taipei, Taiwan^Guam, TT
31067^Taipei, Taiwan^New York, NY
31068^Taipei, Taiwan^Los Angeles, CA
31069^Taipei, Taiwan^Seattle, WA
31070^Taipei, Taiwan^Seattle, WA
31071^Taipei, Taiwan^San Francisco, CA
31072^Boston, MA^Toronto, Canada
31073^Washington, DC^Toronto, Canada
31074^Dallas/Fort Worth, TX^Toronto, Canada
31075^Newark, NJ^Toronto, Canada
31076^New York, NY^Montreal, Canada
31077^New York, NY^Toronto, Canada
31078^Chicago, IL^Montreal, Canada
31079^Chicago, IL^Toronto, Canada
31080^Philadelphia, PA^Toronto, Canada
31081^Montreal, Canada^New York, NY
31082^Montreal, Canada^Chicago, IL
31083^Toronto, Canada^Boston, MA
31084^Toronto, Canada^Washington, DC
31085^Toronto, Canada^Dallas/Fort Worth, TX
31086^Toronto, Canada^Newark, NJ
31087^Toronto, Canada^New York, NY
31088^Toronto, Canada^Chicago, IL
31089^Toronto, Canada^Philadelphia, PA
31091^Ezeiza, Argentina^Miami, FL
31092^Miami, FL^Ezeiza, Argentina
31095^Guam, TT^Seoul, South Korea
31096^Barcelona, Venezuela^Miami, FL
31097^Miami, FL^Barcelona, Venezuela
31098^Brussels, Belgium^Newark, NJ
31099^Newark, NJ^Brussels, Belgium
31100^Helsinki, Finland^New York, NY
31101^New York, NY^Helsinki, Finland
31103^London, United Kingdom^Sanford, FL
31104^Manchester, United Kingdom^Sanford, FL
31105^Newcastle, United Kingdom^Sanford, FL
31107^Sanford, FL^London, United Kingdom
31108^Sanford, FL^Manchester, United Kingdom
31109^Sanford, FL^Newcastle, United Kingdom
31114^Addis Ababa, Ethiopia^Washington, DC
31115^Washington, DC^Addis Ababa, Ethiopia
31116^Boston, MA^Beijing, China
31117^Chicago, IL^Beijing, China
31118^Beijing, China^Boston, MA
31119^Beijing, China^Chicago, IL
31120^Beijing, China^Seattle, WA
31121^Seattle, WA^Beijing, China
31135^New York, NY^Lahore, Pakistan
31136^Karachi, Pakistan^New York, NY
31137^Brussels, Belgium^Washington, DC
31138^Brussels, Belgium^New York, NY
31139^Washington, DC^Brussels, Belgium
31140^New York, NY^Brussels, Belgium
31141^Paris, France^New York, NY
31142^Fort Lauderdale, FL^Quebec, Canada
31143^Fort Lauderdale, FL^Montreal, Canada
31144^Fort Lauderdale, FL^Toronto, Canada
31145^New York, NY^Paris, France
31146^Orlando, FL^Halifax, Canada
31150^Orlando, FL^Montreal, Canada
31154^Halifax, Canada^Orlando, FL
31159^Montreal, Canada^Fort Lauderdale, FL
31160^Montreal, Canada^Orlando, FL
31161^Toronto, Canada^Fort Lauderdale, FL
31165^Guayaquil, Ecuador^New York, NY
31166^New York, NY^Guayaquil, Ecuador
31168^Miami, FL^Quito, Ecuador
31169^Quito, Ecuador^Miami, FL
31184^Kodiak, AK^Anchorage, AK
31189^Anchorage, AK^Kodiak, AK
31194^Anchorage, AK^Bethel, AK
31199^Anchorage, AK^Kenai, AK
31200^Anchorage, AK^Kenai, AK
31202^Anchorage, AK^Fairbanks, AK
31205^Anchorage, AK^Homer, AK
31212^Anchorage, AK^Valdez, AK
31223^Kenai, AK^Anchorage, AK
31224^Kenai, AK^Anchorage, AK
31227^Fairbanks, AK^Anchorage, AK
31239^Homer, AK^Anchorage, AK
31247^Deadhorse, AK^Anchorage, AK
31250^Deadhorse, AK^Deadhorse, AK
31290^Havana, Cuba^Miami, FL
31306^Miami, FL^Havana, Cuba
31335^New York, NY^Lima, Peru
31336^New York, NY^Santiago, Chile
31337^Los Angeles, CA^Lima, Peru
31338^Lima, Peru^New York, NY
31339^Lima, Peru^Los Angeles, CA
31354^Miami, FL^Santiago, Chile
31355^Miami, FL^Santiago, Chile
31363^Santiago, Chile^New York, NY
31364^Santiago, Chile^Miami, FL
31365^Santiago, Chile^Miami, FL
31623^Key West, FL^Fort Jefferson, FL
31634^Fort Jefferson, FL^Key West, FL
31650^Abu Dhabi, United Arab Emirates^Washington, DC
31651^Abu Dhabi, United Arab Emirates^Washington, DC
31652^Abu Dhabi, United Arab Emirates^New York, NY
31653^Abu Dhabi, United Arab Emirates^Chicago, IL
31655^Abu Dhabi, United Arab Emirates^San Francisco, CA
31658^Washington, DC^Abu Dhabi, United Arab Emirates
31659^Washington, DC^Abu Dhabi, United Arab Emirates
31660^New York, NY^Abu Dhabi, United Arab Emirates
31661^Chicago, IL^Abu Dhabi, United Arab Emirates
31663^San Francisco, CA^Abu Dhabi, United Arab Emirates
31666^Brussels, Belgium^Miami, FL
31669^Miami, FL^Brussels, Belgium
31674^Fort Lauderdale, FL^Kingston, Jamaica
31675^Fort Lauderdale, FL^Montego Bay, Jamaica
31676^Fort Lauderdale, FL^Port of Spain, Trinidad and Tobago
31677^Georgetown, Guyana^New York, NY
31678^Grenada, Grenada^New York, NY
31679^New York, NY^Georgetown, Guyana
31680^New York, NY^Grenada, Grenada
31681^New York, NY^Kingston, Jamaica
31682^New York, NY^Montego Bay, Jamaica
31683^New York, NY^Port of Spain, Trinidad and Tobago
31685^Kingston, Jamaica^Fort Lauderdale, FL
31686^Kingston, Jamaica^New York, NY
31687^Kingston, Jamaica^Orlando, FL
31688^Montego Bay, Jamaica^Fort Lauderdale, FL
31689^Montego Bay, Jamaica^New York, NY
31691^Orlando, FL^Port of Spain, Trinidad and Tobago
31692^Miami, FL^Port of Spain, Trinidad and Tobago
31693^Port of Spain, Trinidad and Tobago^Fort Lauderdale, FL
31694^Port of Spain, Trinidad and Tobago^New York, NY
31696^Port of Spain, Trinidad and Tobago^Miami, FL
31698^Abu Dhabi, United Arab Emirates^Dallas/Fort Worth, TX
31699^Abu Dhabi, United Arab Emirates^Washington, DC
31700^Abu Dhabi, United Arab Emirates^New York, NY
31701^Abu Dhabi, United Arab Emirates^Los Angeles, CA
31702^Abu Dhabi, United Arab Emirates^Chicago, IL
31703^Abu Dhabi, United Arab Emirates^San Francisco, CA
31704^Dallas/Fort Worth, TX^Abu Dhabi, United Arab Emirates
31705^Washington, DC^Abu Dhabi, United Arab Emirates
31706^New York, NY^Abu Dhabi, United Arab Emirates
31707^Los Angeles, CA^Abu Dhabi, United Arab Emirates
31708^Chicago, IL^Abu Dhabi, United Arab Emirates
31709^San Francisco, CA^Abu Dhabi, United Arab Emirates
31710^Boston, MA^Madrid, Spain
31712^New York, NY^Madrid, Spain
31713^New York, NY^Madrid, Spain
31714^New York, NY^Madrid, Spain
31715^Los Angeles, CA^Madrid, Spain
31716^Los Angeles, CA^Madrid, Spain
31717^Madrid, Spain^Boston, MA
31719^Madrid, Spain^New York, NY
31720^Madrid, Spain^New York, NY
31721^Madrid, Spain^New York, NY
31722^Madrid, Spain^Los Angeles, CA
31723^Madrid, Spain^Los Angeles, CA
31724^Madrid, Spain^Miami, FL
31725^Madrid, Spain^Chicago, IL
31726^Miami, FL^Madrid, Spain
31727^Chicago, IL^Madrid, Spain
31748^Amsterdam, Netherlands^Sanford, FL
31749^Brussels, Belgium^Miami, FL
31753^Miami, FL^Brussels, Belgium
31756^Newark, NJ^Vienna, Austria
31757^Washington, DC^Vienna, Austria
31758^New York, NY^Vienna, Austria
31759^Chicago, IL^Vienna, Austria
31760^Vienna, Austria^Newark, NJ
31761^Vienna, Austria^Washington, DC
31762^Vienna, Austria^New York, NY
31763^Vienna, Austria^Chicago, IL
31770^Amman, Jordan^New York, NY
31772^Amman, Jordan^Chicago, IL
31773^Detroit, MI^Amman, Jordan
31775^New York, NY^Amman, Jordan
31777^Chicago, IL^Amman, Jordan
31781^Cleveland, OH^Cancun, Mexico
31782^Cleveland, OH^Punta Cana, Dominican Republic
31783^Cancun, Mexico^Cleveland, OH
31785^Cancun, Mexico^Detroit, MI
31788^Cancun, Mexico^Chicago, IL
31789^Cancun, Mexico^Philadelphia, PA
31790^Cancun, Mexico^Rockford, IL
31791^Cancun, Mexico^St. Louis, MO
31794^Detroit, MI^Cancun, Mexico
31803^Milwaukee, WI^Punta Cana, Dominican Republic
31804^Milwaukee, WI^Puerto Vallarta, Mexico
31805^Chicago, IL^Cancun, Mexico
31807^Chicago, IL^Punta Cana, Dominican Republic
31810^Philadelphia, PA^Cancun, Mexico
31811^Philadelphia, PA^Punta Cana, Dominican Republic
31812^Punta Cana, Dominican Republic^Cleveland, OH
31815^Punta Cana, Dominican Republic^Milwaukee, WI
31816^Punta Cana, Dominican Republic^Chicago, IL
31817^Punta Cana, Dominican Republic^Philadelphia, PA
31819^Punta Cana, Dominican Republic^St. Louis, MO
31820^Puerto Vallarta, Mexico^Milwaukee, WI
31824^Rockford, IL^Cancun, Mexico
31828^St. Louis, MO^Cancun, Mexico
31831^St. Louis, MO^Punta Cana, Dominican Republic
31844^Abu Dhabi, United Arab Emirates^Dallas/Fort Worth, TX
31847^Abu Dhabi, United Arab Emirates^Washington, DC
31848^Abu Dhabi, United Arab Emirates^New York, NY
31849^Abu Dhabi, United Arab Emirates^Los Angeles, CA
31850^Abu Dhabi, United Arab Emirates^Chicago, IL
31852^Abu Dhabi, United Arab Emirates^San Francisco, CA
31853^Dallas/Fort Worth, TX^Abu Dhabi, United Arab Emirates
31856^Washington, DC^Abu Dhabi, United Arab Emirates
31857^New York, NY^Abu Dhabi, United Arab Emirates
31858^Los Angeles, CA^Abu Dhabi, United Arab Emirates
31859^Chicago, IL^Abu Dhabi, United Arab Emirates
31861^San Francisco, CA^Abu Dhabi, United Arab Emirates
31901^Saipan, TT^Tinian, TT
31904^Tinian, TT^Saipan, TT
33876^Havana, Cuba^Miami, FL
33878^Holguin, Cuba^Miami, FL
33880^Miami, FL^Havana, Cuba
33882^Miami, FL^Santa Clara, Cuba
33883^Santa Clara, Cuba^Miami, FL
33913^Dallas/Fort Worth, TX^Minneapolis, MN
33921^Houston, TX^Los Angeles, CA
33926^Los Angeles, CA^Houston, TX
33935^Minneapolis, MN^Dallas/Fort Worth, TX
33955^Allentown/Bethlehem/Easton, PA^Atlanta, GA
33961^Augusta, GA^Atlanta, GA
33967^Albany, NY^Atlanta, GA
33969^Atlanta, GA^Allentown/Bethlehem/Easton, PA
33970^Atlanta, GA^Albuquerque, NM
33972^Atlanta, GA^Augusta, GA
33978^Atlanta, GA^Albany, NY
33979^Atlanta, GA^Appleton, WI
33980^Atlanta, GA^Austin, TX
33981^Atlanta, GA^Austin, TX
33983^Atlanta, GA^Asheville, NC
33985^Atlanta, GA^Hartford, CT
33986^Atlanta, GA^Birmingham, AL
33988^Atlanta, GA^Birmingham, AL
33989^Atlanta, GA^Nashville, TN
33992^Atlanta, GA^Nashville, TN
33994^Atlanta, GA^Boston, MA
33995^Atlanta, GA^Boston, MA
33999^Atlanta, GA^Buffalo, NY
34000^Atlanta, GA^Buffalo, NY
34002^Atlanta, GA^Baltimore, MD
34003^Atlanta, GA^Baltimore, MD
34005^Atlanta, GA^Columbia, SC
34006^Atlanta, GA^Columbia, SC
34007^Atlanta, GA^Akron, OH
34008^Atlanta, GA^Akron, OH
34009^Atlanta, GA^Chattanooga, TN
34010^Atlanta, GA^Chattanooga, TN
34011^Atlanta, GA^Charlottesville, VA
34012^Atlanta, GA^Charleston, SC
34015^Atlanta, GA^Charleston, SC
34016^Atlanta, GA^Cleveland, OH
34017^Atlanta, GA^Cleveland, OH
34018^Atlanta, GA^Charlotte, NC
34020^Atlanta, GA^Charlotte, NC
34022^Atlanta, GA^Columbus, OH
34026^Atlanta, GA^Cincinnati, OH
34029^Atlanta, GA^Daytona Beach, FL
34030^Atlanta, GA^Dallas, TX
34033^Atlanta, GA^Dayton, OH
34034^Atlanta, GA^Washington, DC
34035^Atlanta, GA^Washington, DC
34036^Atlanta, GA^Denver, CO
34037^Atlanta, GA^Dallas/Fort Worth, TX
34038^Atlanta, GA^Dallas/Fort Worth, TX
34039^Atlanta, GA^Des Moines, IA
34040^Atlanta, GA^Des Moines, IA
34042^Atlanta, GA^Detroit, MI
34043^Atlanta, GA^Detroit, MI
34044^Atlanta, GA^Detroit, MI
34045^Atlanta, GA^Panama City, FL
34046^Atlanta, GA^Panama City, FL
34049^Atlanta, GA^Evansville, IN
34050^Atlanta, GA^Newark, NJ
34051^Atlanta, GA^Newark, NJ
34055^Atlanta, GA^Fayetteville, NC
34056^Atlanta, GA^Fort Lauderdale, FL
34058^Atlanta, GA^Flint, MI
34060^Atlanta, GA^Gainesville, FL
34061^Atlanta, GA^Gulfport/Biloxi, MS
34062^Atlanta, GA^Gulfport/Biloxi, MS
34063^Atlanta, GA^Green Bay, WI
34064^Atlanta, GA^Grand Rapids, MI
34066^Atlanta, GA^Greensboro/High Point, NC
34067^Atlanta, GA^Greensboro/High Point, NC
34068^Atlanta, GA^Greer, SC
34069^Atlanta, GA^Greer, SC
34070^Atlanta, GA^Houston, TX
34071^Atlanta, GA^Houston, TX
34074^Atlanta, GA^Huntsville, AL
34075^Atlanta, GA^Huntsville, AL
34076^Atlanta, GA^Washington, DC
34077^Atlanta, GA^Washington, DC
34081^Atlanta, GA^Houston, TX
34082^Atlanta, GA^Houston, TX
34083^Atlanta, GA^Wichita, KS
34084^Atlanta, GA^Wichita, KS
34087^Atlanta, GA^Indianapolis, IN
34088^Atlanta, GA^Indianapolis, IN
34089^Atlanta, GA^Jackson/Vicksburg, MS
34090^Atlanta, GA^Jackson/Vicksburg, MS
34093^Atlanta, GA^Jacksonville, FL
34094^Atlanta, GA^Jacksonville, FL
34098^Atlanta, GA^New York, NY
34102^Atlanta, GA^Las Vegas, NV
34104^Atlanta, GA^Las Vegas, NV
34105^Atlanta, GA^Los Angeles, CA
34108^Atlanta, GA^Los Angeles, CA
34109^Atlanta, GA^Lexington, KY
34110^Atlanta, GA^Lexington, KY
34111^Atlanta, GA^Lafayette, LA
34113^Atlanta, GA^New York, NY
34114^Atlanta, GA^New York, NY
34116^Atlanta, GA^Little Rock, AR
34118^Atlanta, GA^Little Rock, AR
34122^Atlanta, GA^Kansas City, MO
34124^Atlanta, GA^Orlando, FL
34125^Atlanta, GA^Orlando, FL
34126^Atlanta, GA^Orlando, FL
34128^Atlanta, GA^Harrisburg, PA
34129^Atlanta, GA^Chicago, IL
34133^Atlanta, GA^Memphis, TN
34136^Atlanta, GA^Memphis, TN
34138^Atlanta, GA^Manchester, NH
34140^Atlanta, GA^Miami, FL
34141^Atlanta, GA^Miami, FL
34143^Atlanta, GA^Milwaukee, WI
34145^Atlanta, GA^Milwaukee, WI
34146^Atlanta, GA^Milwaukee, WI
34147^Atlanta, GA^Melbourne, FL
34148^Atlanta, GA^Mobile, AL
34151^Atlanta, GA^Madison, WI
34155^Atlanta, GA^Minneapolis, MN
34156^Atlanta, GA^Minneapolis, MN
34157^Atlanta, GA^New Orleans, LA
34158^Atlanta, GA^New Orleans, LA
34159^Atlanta, GA^Myrtle Beach, SC
34160^Atlanta, GA^Oklahoma City, OK
34161^Atlanta, GA^Oklahoma City, OK
34163^Atlanta, GA^Omaha, NE
34164^Atlanta, GA^Chicago, IL
34166^Atlanta, GA^Chicago, IL
34167^Atlanta, GA^Norfolk, VA
34169^Atlanta, GA^West Palm Beach/Palm Beach, FL
