"","Fecha","Incidente"
"398","05-08-2018 09:11","Accidente de tráfico. Ossa de Montiel (AB)"
"399","05-08-2018 14:02","Seguridad ciudadana. Ciudad Real (CR)"
"400","06-08-2018 12:30","Accidente laboral. Puertollano (CR)"
"401","06-08-2018 14:39","Ahogado. Villarrobledo (AB)"
"402","08-08-2018 13:43","Ataque de perros. Guadalajara (GU)"
"403","08-08-2018 16:00","Tormentas. Provincia de Albacete"
"404","08-08-2018 17:35","Accidente de tráfico. Alarcón (CU)"
"405","08-08-2018 18:35","Incidencias por viento. Arguisuelas (CU)"
"406","08-08-2018 20:00","Accidente aéreo. Camarenilla (TO)"
"407","09-08-2018 14:03","Accidente de tráfico. Molinicos (AB)"
"408","09-08-2018 20:56","Precipitación. Albacete (AB)"
"409","10-08-2018 13:02","Accidente de tráfico. Santa Olalla (TO)"
"410","10-08-2018 13:05","Incendio. Valdepeñas (C)"
"411","10-08-2018 16:05","Seguridad Ciudadana. Ciudad Real (CR)"
"412","10-08-2018 20:13","Explosión de gas. Tendilla (GU)"
"413","10-08-2018 21:40","Inundaciones. Tobarra (AB)"
"414","11-08-2018 11:08","Incendio de camión. Trijueque (GU)"
"415","11-08-2018 20:37","Accidente paracaidismo. Ocaña (TO)"
"416","11-08-2018 22:40","Caída de árboles. La Solana (CR)"
"417","12-08-2018 20:31","Incendio. Quismondo (TO)"
"418","12-08-2018 21:58","Accidente de tráfico. Albacete (AB)"
"419","12-08-2018 23:15","Accidente laboral. Esplegares (GU)"
"420","13-08-2018 13:42","Accidente de senderismo. Valverde de los Arroyos (GU)"
"421","13-08-2018 16:47","Rescate. Santa Cruz del Retamar (TO)"
"422","13-08-2018 20:50","Deflagración. Guadalajara (GU)"
"423","13-08-2018 20:57","Accidente de piscina. Casarrubios del Monte (TO)"
"424","14-08-2018 02:36","Accidente de tráfico. Socuéllamos (CR)"
"425","16-08-2018 13:11","Base helitransportada. Molinicos (AB)"
"426","16-08-2018 13:25","Incidencias por tormentas. Riópar (AB)"
"427","16-08-2018 17:14","Caída de árboles. Layos (TO)"
"428","16-08-2018 18:30","Incidentes por tormentas. Seseña (TO)"
"429","17-08-2018 20:16","Incidencias por lluvias. Chinchilla de Montearagón (AB)"
"430","18-08-2018 00:31","Incendio. Seseña (TO)"
"431","18-08-2018 08:57","Accidente de tráfico. Campillo de Altobuey (CU)"
"432","18-08-2018 18:20","Accidente de piscina. La Solana (CR)"
"433","19-08-2018 22:18","Incendio. Seseña (TO)"
"434","20-08-2018 10:58","Accidente deportivo. Buenaventura (TO)"
"435","20-08-2018 11:42","Accidente laboral. Calzada de Calatrava (CR)"
"436","20-08-2018 11:43","Rescate. Guadalajara (GU)"
"437","20-08-2018 12:56","Accidente de tráfico. Hellín (AB)"
"438","21-08-2018 20:00","Incendio. Illescas (TO)"
"439","22-08-2018 18:00","Accidente de tráfico. La Guardia (TO)"
"440","22-08-2018 18:44","Accidente de tráfico. Lezuza (AB)"
"441","22-08-2018 20:29","Incendio. Ciudad Real (CR)"
"442","24-08-2018 20:50","Ahogamiento. Caudete (AB)"
"443","25-08-2018 02:18","Accidente de tráfico. Cabezarados (CR)"
"444","25-08-2018 18:25","Ataque de perro. Villanueva de Alcorón (GU)"
"445","26-08-2018 21:20","Ataque de perro. Albacete (AB)"
"446","27-08-2018 06:28","Seguridad ciudadana. Tomelloso (Ciudad Real)"
"447","28-08-2018 12:26","Accidente de tráfico. Guadalajara (GU)"
"448","29-08-2018 21:10","Incendio. Marchamalo (GU)"
"449","01-09-2018 13:10","Accidente deportivo. Villalba de la Sierra (CU)"
"450","02-09-2018 07:30","Seguridad ciudadana. El Casar (GU)"
"451","03-09-2018 15:22","Precipitación. Torija (GU)"
"452","03-09-2018 18:42","Accidente de tráfico. Daimiel (CR)"
"453","05-09-2018 17:24","Accidente deportivo. Enguídanos (CU)"
"454","05-09-2018 20:18","Accidente deportivo. Alarilla (GU)"
"455","07-09-2018 19:14","Inundaciones. Navas de Jorquera (AB)"
"456","08-09-2018 16:15","Inundaciones. Cebolla (TO)"
"457","09-09-2018 19:44","Inundaciones. Valdepeñas (CR)"
"458","10-09-2018 12:22","Accidente de tráfico. Lucillos (TO)"
"459","11-09-2018 20:13","Accidente de piscina. Casarrubios del Monte (TO)"
"460","13-09-2018 07:05","Incendio. Ciudad Real (CR)"
"461","13-09-2018 16:42","Accidente de tráfico. Alcaraz (AB)"
"462","14-09-2018 00:51","Seguridad ciudadana. Illescas (TO)"
"463","14-09-2018 19:50","Precipitación. Talavera de la Reina (TO)"
"464","15-09-2018 03:25","Seguridad ciudadana. Toledo (TO)"
"465","15-09-2018 09:17","Incendio. Manzanares (CR)"
"466","15-09-2018 23:06","Incendio. Illescas (TO)"
"467","16-09-2018 13:59","Incendio. Albacete (AB)"
"468","16-09-2018 18:51","Accidente de tráfico. La Puebla de Montalbán (TO)"
"469","16-09-2018 19:16","Accidente taurino. Fuensalida (TO)"
"470","17-09-2018 03:26","Seguridad ciudadana. Casas-Ibáñez (AB)"
"471","17-09-2018 13:18","Accidente de tráfico. Poblete (CR)"
"472","17-09-2018 18:29","Incidentes por lluvias. Fuentealbilla (AB)"
"473","17-09-2018 20:10","Incidencias por lluvias. Villaconejos de Trabaque (CU)"
"474","17-09-2018 20:23","Incidencias por lluvias. Ledaña (CU)"
"475","17-09-2018 21:11","Incidencias por lluvias. Canalejas del Arroyo (CU)"
"476","17-09-2018 21:50","Incidencias por lluvias. Loranca de Tajuña (GU)"
"477","17-09-2018 23:56","Incidencias por lluvias. Navas de Jorquera (AB)"
"478","18-09-2018 11:58","Incendio. Manzanares (CR)"
"479","18-09-2018 12:47","Accidente de tráfico. Elche de la Sierra (AB)"
"480","18-09-2018 18:27","Accidente laboral. Noblejas (TO)"
"481","19-09-2018 02:50","Explosión. Fuente de Pedro Naharro (CU)"
"482","21-09-2018 02:54","Accidente de tráfico. Valdepeñas (CR)"
"483","13-11-2018 19:30","Accidente aéreo. Cervera del Llano (CU)"
"484","14-11-2018 11:37","Corte de carreteras. Balazote (AB)"
"485","14-11-2018 16:08","Incendio. Socuéllamos (CR)"
"486","14-11-2018 23:56","Accidente de tráfico. Puerto Lápice (CR)"
